Type,Start,End,Duration,Distance,Average Heart Rate,Max Heart Rate,Average Pace,Average Speed,Average Cadence,Active Energy,Total Energy,Elevation Ascended,Elevation Descended,Weather Temperature,Weather Humidity
High Intensity Interval Training,11/2/2020 18:13,11/2/2020 19:04,0:51:19,,132.8852459,166,,,,403.779,510.236,,,8.333333333,41
Stair Climbing,10/31/2020 11:21,10/31/2020 11:58,0:36:12,,150.7857143,169,,,,356.326,437.39,,,12.77777778,52
Traditional Strength Training,10/31/2020 10:52,10/31/2020 11:21,0:28:49,,129.9201681,165,,,,220.743,267.13,,,11.66666667,61
Indoor Walking,10/29/2020 17:44,10/29/2020 18:23,0:38:54,2.55892182,136.7540984,149,0:15:12,3.946650599,91.59442907,249.822,333.331,,,24.44444444,45
Indoor Walking,10/26/2020 19:50,10/26/2020 20:29,0:38:53,2.593660646,132.8684211,151,0:14:59,4.001230831,90.00911446,268.838,349.355,,,19.44444444,90
Outdoor Walking,10/25/2020 20:29,10/25/2020 21:09,0:40:11,2.479065941,137.4013158,151,0:16:12,3.700254706,79.14862567,169.471,252.317,,,18.33333333,100
Stair Climbing,10/24/2020 11:09,10/24/2020 11:32,0:22:44,,152.7242647,166,,,,222.735,283.031,,,22.22222222,84
Traditional Strength Training,10/24/2020 10:29,10/24/2020 11:09,0:40:04,,130.608802,162,,,,293.44,357.39,,,21.66666667,85
High Intensity Interval Training,10/22/2020 16:51,10/22/2020 17:36,0:44:54,,139.3705263,179,,,,385.129,476.125,,,26.66666667,53
Indoor Walking,10/21/2020 19:56,10/21/2020 20:35,0:38:28,2.672304087,134.0340909,153,0:14:23,4.168001515,93.27891809,276.039,356.216,,,21.11111111,80
Indoor Walking,10/20/2020 19:25,10/20/2020 20:04,0:38:32,2.756580825,134.4135514,154,0:13:58,4.291358122,92.70610638,281.535,362.332,,,20.55555556,73
Indoor Walking,10/15/2020 19:12,10/15/2020 19:48,0:36:18,2.664423773,140.6578947,162,0:13:37,4.402575803,94.40210305,296.407,374.273,,,21.66666667,73
High Intensity Interval Training,10/11/2020 17:20,10/11/2020 17:56,0:36:16,,142.4872521,173,,,,324.311,405.66,,,23.33333333,84
Indoor Walking,10/9/2020 18:03,10/9/2020 18:45,0:42:23,3.188574118,140.5967413,161,0:13:17,4.512339045,95.91474041,332.712,425.056,,,19.44444444,83
Outdoor Walking,10/6/2020 11:51,10/6/2020 12:21,0:29:45,2.013125565,92.78983051,126,0:14:46,4.058826285,181.3052332,112.997,177.116,43.73,,20,63
Indoor Walking,10/3/2020 8:44,10/3/2020 9:35,0:51:18,3.726179683,139.7943615,162,0:13:46,4.357173498,96.81199284,418.996,520.594,,,6.666666667,94
Indoor Walking,9/30/2020 19:08,9/30/2020 19:17,0:09:03,0.052784563,94.54,118,,0.34969593,11.41206971,11.061,42.834,,,21.11111111,51
High Intensity Interval Training,9/30/2020 18:15,9/30/2020 19:08,0:52:43,,144.3229572,169,,,,490.151,575.23,,,22.22222222,46
Indoor Walking,9/28/2020 20:45,9/28/2020 21:27,0:41:07,2.727186445,134.5869121,158,0:15:04,3.978954121,88.91925176,309.595,385.046,,,22.77777778,84
Indoor Running,9/25/2020 20:05,9/25/2020 20:49,0:43:48,2.965030633,128.7782101,150,0:14:46,4.060315257,92.10365762,304.091,393.229,,,21.66666667,91
Indoor Running,9/23/2020 20:36,9/23/2020 21:15,0:38:16,3.006726353,131.1425339,182,0:12:43,4.713717073,93.43058214,247.156,327.053,,,18.88888889,75
Indoor Running,9/22/2020 20:00,9/22/2020 20:38,0:37:36,2.505505012,131.7631579,158,0:15:00,3.998125903,90.89619793,258.177,339.055,,,17.22222222,75
Indoor Running,9/21/2020 20:23,9/21/2020 21:00,0:37:27,2.712051307,134.7725225,170,0:13:48,4.343940542,92.44038248,271.572,350.213,,,16.11111111,57
Indoor Running,9/20/2020 10:16,9/20/2020 10:59,0:42:57,2.879361462,141.7956778,163,0:14:55,4.021363938,91.70807126,335.707,426.069,,,16.66666667,51
Indoor Running,9/18/2020 18:49,9/18/2020 19:27,0:37:46,2.549894624,130.5389755,164,0:14:48,4.049973435,90.21420497,258.901,320.537,,,22.77777778,64
Indoor Running,9/17/2020 19:44,9/17/2020 20:17,0:32:50,2.802902203,138.2706186,163,0:11:43,5.119803308,114.2127534,260.911,332.886,,,24.44444444,73
High Intensity Interval Training,9/16/2020 17:59,9/16/2020 19:04,1:05:03,,136.7526455,165,,,,547.164,673.464,,,19.44444444,95
Indoor Running,9/15/2020 19:35,9/15/2020 20:27,0:34:15,2.261478862,138.9902913,153,0:15:09,3.960219808,89.28905096,264.491,356.012,,,22.22222222,70
Indoor Walking,9/14/2020 21:12,9/14/2020 21:45,0:33:32,2.965260745,149.8832891,171,0:11:18,5.303258934,107.1774683,287.701,360.994,,,22.77777778,95
Indoor Walking,9/13/2020 19:36,9/13/2020 20:36,0:32:55,1.924395876,136.2477064,155,0:17:06,3.507488845,70.56570037,262.831,357.434,,,27.77777778,62
Indoor Walking,9/11/2020 15:17,9/11/2020 15:35,0:17:55,1.112776638,144.283237,155,0:16:06,3.724361753,99.45895208,148.741,190.251,,,31.11111111,56
Stair Climbing,9/11/2020 14:56,9/11/2020 15:17,0:20:24,,158.3487179,170,,,,212.756,245.961,,,30.55555556,57
Traditional Strength Training,9/11/2020 14:26,9/11/2020 14:56,0:30:13,,121.5,162,,,,192.024,240.098,,,30.55555556,58
High Intensity Interval Training,9/10/2020 5:23,9/10/2020 5:56,0:32:49,,134.8798883,168,,,,266.803,337.273,,,21.66666667,90
Hiking,9/6/2020 8:47,9/6/2020 9:52,1:04:55,3.236377166,111.227451,149,0:20:03,2.990536773,,273.862,378.801,146.56,,12.77777778,87
Hiking,9/5/2020 12:44,9/5/2020 13:41,0:41:49,1.547979431,101.8588771,151,0:27:01,2.220383939,,143.952,259.361,71.31,,16.66666667,51
Stair Climbing,8/28/2020 15:33,8/28/2020 15:56,0:22:31,,152.7016129,164,,,,225.946,285.55,,,28.88888889,68
Traditional Strength Training,8/28/2020 15:11,8/28/2020 15:33,0:21:58,,125.4009901,169,,,,153.454,187.513,,,28.88888889,67
Outdoor Walking,8/27/2020 17:37,8/27/2020 18:08,0:30:08,1.960823065,90.03370787,103,0:15:22,3.90360618,186.6313744,105.961,154.608,,,32.77777778,53
Stair Climbing,8/24/2020 15:38,8/24/2020 16:07,0:28:23,,131.6170213,158,,,,230.007,300.409,,,27.77777778,69
Stair Climbing,8/21/2020 13:35,8/21/2020 14:16,0:40:37,,137.2505133,157,,,,345.844,429.583,,,23.33333333,87
Traditional Strength Training,8/21/2020 12:56,8/21/2020 13:35,0:39:03,,119.026764,156,,,,240.449,303.583,,,22.77777778,90
High Intensity Interval Training,8/19/2020 5:20,8/19/2020 5:51,0:30:33,,136.2900302,170,,,,255.71,313.331,,,20.55555556,93
Stair Climbing,8/17/2020 15:39,8/17/2020 16:02,0:22:20,,134.9738806,148,,,,187.511,241.284,,,31.11111111,53
Traditional Strength Training,8/17/2020 15:30,8/17/2020 15:39,0:09:44,,109.1830986,147,,,,50.658,66.373,,,30.55555556,54
Stair Climbing,8/16/2020 14:46,8/16/2020 15:09,0:22:56,,154.6833333,167,,,,234.495,295.561,,,31.66666667,46
Traditional Strength Training,8/16/2020 14:30,8/16/2020 14:46,0:15:45,,130.5870968,169,,,,116.883,142.685,,,31.66666667,47
Stair Climbing,8/13/2020 15:10,8/13/2020 15:57,0:46:38,,131.6244813,153,,,,373.424,449.551,,,32.22222222,50
High Intensity Interval Training,8/11/2020 5:24,8/11/2020 5:55,0:30:42,,141.892638,163,,,,278.793,346.418,,,21.66666667,99
High Intensity Interval Training,8/10/2020 18:18,8/10/2020 19:00,0:42:21,,126.1002331,160,,,,324.591,413.283,,,22.77777778,92
Stair Climbing,8/7/2020 13:09,8/7/2020 13:44,0:35:01,,141.5625,156,,,,311.494,391.825,,,29.44444444,64
Traditional Strength Training,8/7/2020 12:31,8/7/2020 13:09,0:38:13,,116.5699659,151,,,,221.71,282.41,,,28.88888889,66
High Intensity Interval Training,8/6/2020 18:07,8/6/2020 18:39,0:32:00,,141.1242424,178,,,,282.091,339.368,,,27.77777778,67
Indoor Walking,8/5/2020 12:10,8/5/2020 12:43,0:33:21,2.294241917,97.47826087,110,0:14:32,4.127399441,108.4898733,136.301,211.035,,,29.44444444,59
